epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,156.144,1.66788,3.12359,2.12044,0.00335,1,0.43959,0.21011,1.04627,3.77352,1.98017,0.00010002,0.00010002,0.00010002
2,406.015,1.27861,2.66308,1.65912,0.00385,1,0.5123,0.32752,0.7735,3.51227,1.56491,0.000209559,0.000209559,0.000209559
3,657.485,1.19831,2.26513,1.6441,0.0035,1,0.61073,0.35994,0.83593,3.46125,1.63872,0.000311396,0.000311396,0.000311396
4,944.41,1.12527,2.03128,1.5193,0.00356,1,0.56096,0.35393,0.87695,3.41172,1.61109,0.000405531,0.000405531,0.000405531
5,1166.13,1.17267,1.91166,1.49742,1,0.05618,0.50454,0.24745,1.26513,3.45216,1.9851,0.000491965,0.000491965,0.000491965
6,1381.8,1.08897,1.82812,1.52361,0.54123,0.24,0.32208,0.09159,2.89501,3.91072,7.10145,0.000570697,0.000570697,0.000570697
7,1514.7,1.1016,1.69341,1.48669,0.674,0.18,0.31216,0.1035,1.91868,4.01155,3.03188,0.000641728,0.000641728,0.000641728
8,1629.38,1.04319,1.79401,1.50648,0.01245,0.99,0.35418,0.13526,1.76301,3.94143,2.92551,0.000705058,0.000705058,0.000705058
9,1729.38,1.00796,1.54658,1.4072,0.71471,0.64416,0.7988,0.47602,1.12479,2.73972,1.87369,0.000760685,0.000760685,0.000760685
10,1825.03,1.09078,1.68784,1.48154,0.61897,0.62919,0.66989,0.26933,1.49652,3.08369,2.21221,0.000808612,0.000808612,0.000808612
11,1926.41,1.0823,1.59104,1.51143,0.38821,0.44196,0.41664,0.11449,2.52711,3.50259,4.0321,0.000848836,0.000848836,0.000848836
12,2049.58,1.117,1.50681,1.42969,0.24035,0.4,0.17575,0.05471,2.76135,3.60062,4.42525,0.00088136,0.00088136,0.00088136
13,2467.16,1.06067,1.39022,1.44518,0.26933,0.3,0.18131,0.04915,3.04474,3.61831,5.02853,0.000906181,0.000906181,0.000906181
14,2602.02,1.10071,1.43681,1.43768,0.46407,0.49,0.42083,0.15278,2.61899,3.13894,3.88097,0.000923301,0.000923301,0.000923301
15,2709.5,1.02342,1.39864,1.3994,0.46473,0.51,0.48632,0.21536,1.70372,2.66266,2.56665,0.000896846,0.000896846,0.000896846
16,2799.92,1.13015,1.53158,1.49349,0.54061,0.56026,0.64713,0.30219,1.61729,2.58797,2.48241,0.000841835,0.000841835,0.000841835
17,2892.74,1.09377,1.39932,1.47547,0.68004,0.64932,0.77678,0.42317,1.36419,2.45949,2.10996,0.000786824,0.000786824,0.000786824
18,2981.69,1.01612,1.38635,1.39191,0.80445,0.88567,0.97967,0.66994,1.05025,1.9983,1.67528,0.000731813,0.000731813,0.000731813
19,3069.55,0.99906,1.2935,1.38928,0.86402,0.91,0.96403,0.67738,1.03249,1.7647,1.68895,0.000676802,0.000676802,0.000676802
20,3157.99,1.12485,1.32046,1.4854,0.95978,0.96822,0.99285,0.71351,0.9781,1.51074,1.66971,0.000621791,0.000621791,0.000621791
21,3247.64,0.99733,1.64369,1.66638,0.96754,0.99562,0.9948,0.75233,0.92177,1.45202,1.57296,0.00056678,0.00056678,0.00056678
22,3334.15,0.87554,1.55617,1.45973,0.8536,0.87913,0.93515,0.64162,1.10084,1.99512,1.79179,0.000511769,0.000511769,0.000511769
23,3420.53,0.89557,1.72861,1.48602,0.89255,0.91,0.97064,0.71036,0.89949,1.64645,1.54428,0.000456758,0.000456758,0.000456758
24,3507.08,0.91032,1.35488,1.49159,0.98054,0.98224,0.99462,0.75687,0.87082,1.4691,1.50875,0.000401747,0.000401747,0.000401747
25,3593.68,0.80526,1.3206,1.46709,0.94437,0.9876,0.99409,0.74694,0.88223,1.52599,1.54414,0.000346736,0.000346736,0.000346736
26,3681.88,0.80111,1.35724,1.39866,0.95917,0.98584,0.98976,0.7485,0.96404,1.54322,1.62258,0.000291725,0.000291725,0.000291725
27,3835.21,0.79492,1.32578,1.39779,0.99431,0.99,0.99462,0.78502,0.88044,1.37666,1.51531,0.000236714,0.000236714,0.000236714
28,3937.77,0.75198,1.30014,1.37078,0.99733,0.98398,0.9948,0.80239,0.80039,1.32244,1.41781,0.000181703,0.000181703,0.000181703
29,4047.66,0.74621,1.1912,1.35706,0.99331,0.98273,0.9948,0.80925,0.78028,1.30194,1.39277,0.000126692,0.000126692,0.000126692
30,4148.32,0.76207,1.29879,1.31969,0.99199,0.98075,0.995,0.80825,0.75553,1.25762,1.36514,7.1681e-05,7.1681e-05,7.1681e-05
